ensg	name	CD
ENSG00000007312	CD79B	CD79b
ENSG00000005884	ITGA3	CD49c
ENSG00000019582	CD74	CD74
ENSG00000010278	CD9	CD9
ENSG00000010610	CD4	CD4
ENSG00000048462	TNFRSF17	CD269
ENSG00000012124	CD22	CD22
ENSG00000079385	CEACAM1	CD66a
ENSG00000067182	TNFRSF1A	CD120a
ENSG00000026950	BTN3A1	CD277
ENSG00000064300	NGFR	CD271
ENSG00000077238	IL4R	CD124
ENSG00000076662	ICAM3	CD50
ENSG00000090659	CD209	CD209
ENSG00000100385	IL2RB	CD122
ENSG00000086548	CEACAM6	CD66c
ENSG00000089692	LAG3	CD223
ENSG00000005893	LAMP2	CD107b
ENSG00000132470	ITGB4	CD104
ENSG00000073008	PVR	CD155
ENSG00000105369	CD79A	CD79a
ENSG00000104689	TNFRSF10A	CD261
ENSG00000110876	SELPLG	CD162
ENSG00000111796	KLRB1	CD161
ENSG00000101916	TLR8	CD288
ENSG00000111432	FZD10	CD350
ENSG00000004468	CD38	CD38
ENSG00000110848	CD69	CD69
ENSG00000085117	CD82	CD82
ENSG00000110324	IL10RA	CDw210a
ENSG00000011422	PLAUR	CD87
ENSG00000111339	ART4	CD297
ENSG00000105388	CEACAM5	CD66e
ENSG00000106952	TNFSF8	CD153
ENSG00000101000	PROCR	CD201
ENSG00000239998	LILRA2	CD85H
ENSG00000115884	SDC1	CD138
ENSG00000126353	CCR7	CD197
ENSG00000117090	SLAMF1	CD150
ENSG00000130303	BST2	CD317
ENSG00000123384	LRP1	CD91
ENSG00000129226	CD68	CD68
ENSG00000104974	LILRA1	CD85I
ENSG00000204577	LILRB3	CD85A
ENSG00000115604	IL18R1	CD218a
ENSG00000188404	SELL	CD62L
ENSG00000125810	CD93	CD93
ENSG00000117281	CD160	CD160
ENSG00000118777	ABCG2	CD338
ENSG00000121966	CXCR4	CD184
ENSG00000122025	FLT3	CD135
ENSG00000112077	RHAG	CD241
ENSG00000072694	FCGR2B	CD32b
ENSG00000121858	TNFSF10	CD253
ENSG00000125735	TNFSF14	CD258
ENSG00000120659	TNFSF11	CD254
ENSG00000128322	IGLL1	CD179b
ENSG00000129450	SIGLEC9	CD329
ENSG00000104938	CLEC4M	CD299
ENSG00000123496	IL13RA2	CD213a2
ENSG00000213809	KLRK1	CD314
ENSG00000129744	ART1	CD296
ENSG00000115232	ITGA4	CD49d
ENSG00000231924	PSG1	CD66f
ENSG00000124469	CEACAM8	CD66b
ENSG00000100031	GGT1	CD224
ENSG00000124334	IL9R	CD129
ENSG00000113721	PDGFRB	CD140b
ENSG00000120949	TNFRSF8	CD30
ENSG00000138696	BMPR1B	CDw293
ENSG00000135318	NT5E	CD73
ENSG00000105383	CD33	CD33
ENSG00000138792	ENPEP	CD249
ENSG00000134853	PDGFRA	CD140a
ENSG00000091409	ITGA6	CD49f
ENSG00000137101	CD72	CD72
ENSG00000068078	FGFR3	CD333
ENSG00000101307	SIRPB1	CD172b
ENSG00000122224	LY9	CD229
ENSG00000109743	BST1	CD157
ENSG00000136732	GYPC	CD236
ENSG00000241399	CD302	CD302
ENSG00000039068	CDH1	CD324
ENSG00000083457	ITGAE	CD103
ENSG00000240505	TNFRSF13B	CD267
ENSG00000137462	TLR2	CD282
ENSG00000115607	IL18RAP	CD218b
ENSG00000078081	LAMP3	CD208
ENSG00000054219	LY75	CD205
ENSG00000101384	JAG1	CD339
ENSG00000004939	SLC4A1	CD233
ENSG00000091181	IL5RA	CD125
ENSG00000099250	NRP1	CD304
ENSG00000128052	KDR	CD309
ENSG00000174175	SELP	CD62P
ENSG00000076706	MCAM	CD146
ENSG00000136040	PLXNC1	CD232
ENSG00000137845	ADAM10	CD156C
ENSG00000038945	MSR1	CD204
ENSG00000114013	CD86	CD86
ENSG00000134061	CD180	CD180
ENSG00000134460	IL2RA	CD25
ENSG00000005961	ITGA2B	CD41
ENSG00000113594	LIFR	CD118
ENSG00000090339	ICAM1	CD54
ENSG00000100368	CSF2RB	CD131
ENSG00000138448	ITGAV	CD51
ENSG00000026508	CD44	CD44
ENSG00000110651	CD81	CD81
ENSG00000121594	CD80	CD80
ENSG00000085563	ABCB1	CD243
ENSG00000135404	CD63	CD63
ENSG00000138623	SEMA7A	CD108
ENSG00000132514	CLEC10A	CD301
ENSG00000026103	FAS	CD95
ENSG00000167618	LAIR2	CD306
ENSG00000243646	IL10RB	CDw210b
ENSG00000182578	CSF1R	CD115
ENSG00000013725	CD6	CD6
ENSG00000143119	CD53	CD53
ENSG00000135535	CD164	CD164
ENSG00000170017	ALCAM	CD166
ENSG00000066294	CD84	CD84
ENSG00000169704	GP9	CD42a
ENSG00000157404	KIT	CD117
ENSG00000174125	TLR1	CD281
ENSG00000069849	ATP1B3	CD298
ENSG00000168995	SIGLEC7	CD328
ENSG00000161638	ITGA5	CD49e
ENSG00000135218	CD36	CD36
ENSG00000167851	CD300A	CD300a
ENSG00000174059	CD34	CD34
ENSG00000174123	TLR10	CD290
ENSG00000239961	LILRA4	CD85G
ENSG00000170458	CD14	CD14
ENSG00000156535	CD109	CD109
ENSG00000163599	CTLA4	CD152
ENSG00000151694	ADAM17	CD156b
ENSG00000171105	INSR	CD220
ENSG00000154096	THY1	CD90
ENSG00000160654	CD3G	CD3g
ENSG00000159958	TNFRSF13C	CD268
ENSG00000168685	IL7R	CD127
ENSG00000172215	CXCR6	CD186
ENSG00000169575	VPREB1	CD179a
ENSG00000164342	TLR3	CD283
ENSG00000120889	TNFRSF10B	CD262
ENSG00000173762	CD7	CD7
ENSG00000160867	FGFR4	CD334
ENSG00000186818	LILRB4	CD85K
ENSG00000162692	VCAM1	CD106
ENSG00000167286	CD3D	CD3d
ENSG00000163814	CDCP1	CD318
ENSG00000143226	FCGR2A	CD32a
ENSG00000150093	ITGB1	CD29
ENSG00000164078	MST1R	CD136
ENSG00000117586	TNFSF4	CD252
ENSG00000166825	ANPEP	CD13
ENSG00000150637	CD226	CD226
ENSG00000125498	KIR2DL1	CD158A
ENSG00000189430	NCR1	CD335
ENSG00000154721	JAM2	CD322
ENSG00000153283	CD96	CD96
ENSG00000170558	CDH2	CD325
ENSG00000164171	ITGA2	CD49b
ENSG00000213949	ITGA1	CD49a
ENSG00000163823	CCR1	CD191
ENSG00000159640	ACE	CD143
ENSG00000169896	ITGAM	CD11b
ENSG00000147168	IL2RG	CD132
ENSG00000121807	CCR2	CD192
ENSG00000167775	CD320	CD320
ENSG00000153563	CD8A	CD8a
ENSG00000140678	ITGAX	CD11c
ENSG00000141736	ERBB2	CD340
ENSG00000240403	KIR3DL2	CD158K
ENSG00000171124	FUT3	CD174
ENSG00000141655	TNFRSF11A	CD265
ENSG00000158477	CD1A	CD1a
ENSG00000140443	IGF1R	CD221
ENSG00000188672	RHCE	CD240CE
ENSG00000173530	TNFRSF10D	CD264
ENSG00000160791	CCR5	CD195
ENSG00000162747	FCGR3B	CD16b
ENSG00000160255	ITGB2	CD18
ENSG00000156298	TSPAN7	CD231
ENSG00000174807	CD248	CD248
ENSG00000011028	MRC2	CD280
ENSG00000163600	ICOS	CD278
ENSG00000149294	NCAM1	CD56
ENSG00000066468	FGFR2	CD332
ENSG00000177455	CD19	CD19
ENSG00000187010	RHD	CD240D
ENSG00000115590	IL1R2	CD121b
ENSG00000185499	MUC1	CD227
ENSG00000186265	BTLA	CD272
ENSG00000188389	PDCD1	CD279
ENSG00000167850	CD300C	CD300C
ENSG00000134352	IL6ST	CD130
ENSG00000006327	TNFRSF12A	CD266
ENSG00000179934	CCR8	CDw198
ENSG00000170180	GYPA	CD235a
ENSG00000162729	IGSF8	CD316
ENSG00000178562	CD28	CD28
ENSG00000104972	LILRB1	CD85J
ENSG00000112486	CCR6	CD196
ENSG00000168003	SLC3A2	CD98
ENSG00000185896	LAMP1	CD107a
ENSG00000167633	KIR3DL1	CD158E1
ENSG00000204580	DDR1	CD167a
ENSG00000104894	CD37	CD37
ENSG00000117560	FASLG	CD178
ENSG00000105371	ICAM4	CD242
ENSG00000185245	GP1BA	CD42b
ENSG00000160712	IL6R	CD126
ENSG00000187764	SEMA4D	CD100
ENSG00000177697	CD151	CD151
ENSG00000131042	LILRB2	CD85D
ENSG00000105609	LILRB5	CD85C
ENSG00000096996	IL12RB1	CD212
ENSG00000185885	IFITM1	CD225
ENSG00000077782	FGFR1	CD331
ENSG00000103855	CD276	CD276
ENSG00000179776	CDH5	CD144
ENSG00000243772	KIR2DL3	CD158B2
ENSG00000204475	NCR3	CD337
ENSG00000158769	F11R	CD321
ENSG00000134539	KLRD1	CD94
ENSG00000105492	SIGLEC6	CD327
ENSG00000122223	CD244	CD244
ENSG00000117525	F3	CD142
ENSG00000185291	IL3RA	CD123
ENSG00000119535	CSF3R	CD114
ENSG00000091972	CD200	CD200
ENSG00000172270	BSG	CD147
ENSG00000183813	CCR4	CD194
ENSG00000007908	SELE	CD62E
ENSG00000161955	TNFSF13	CD256
ENSG00000136869	TLR4	CD284
ENSG00000186431	FCAR	CD89
ENSG00000196549	MME	CD10
ENSG00000198910	L1CAM	CD171
ENSG00000198178	CLEC4C	CD303
ENSG00000196776	CD47	CD47
ENSG00000189013	KIR2DL4	CD158D
ENSG00000198223	CSF2RA	CD116
ENSG00000170956	CEACAM3	CD66d
ENSG00000197635	DPP4	CD26
ENSG00000134545	KLRC1	CD159a
ENSG00000116678	LEPR	CD295
ENSG00000197081	IGF2R	CD222
ENSG00000104921	FCER2	CD23
ENSG00000072571	HMMR	CD168
ENSG00000154269	ENPP3	CD203c
ENSG00000197471	SPN	CD43
ENSG00000167613	LAIR1	CD305
ENSG00000110448	CD5	CD5
ENSG00000188763	FZD9	CD349
ENSG00000198851	CD3E	CD3e
ENSG00000196371	FUT4	CD15
ENSG00000106991	ENG	CD105
ENSG00000081237	PTPRC	CD45
ENSG00000005844	ITGAL	CD11a
ENSG00000239732	TLR9	CD289
ENSG00000156738	MS4A1	CD20
ENSG00000197993	KEL	CD238
ENSG00000198821	CD247	CD247
ENSG00000196209	SIRPB2	CD172g
ENSG00000177575	CD163	CD163
ENSG00000183625	CCR3	CD193
ENSG00000026751	SLAMF7	CD319
ENSG00000160223	ICOSLG	CD275
ENSG00000085063	CD59	CD59
ENSG00000072274	TFRC	CD71
ENSG00000143297	FCRL5	CD307
ENSG00000173535	TNFRSF10C	CD263
ENSG00000173585	CCR9	CDw199
ENSG00000101017	CD40	CD40
ENSG00000138185	ENTPD1	CD39
ENSG00000158488	CD1E	CD1e
ENSG00000162733	DDR2	CD167b
ENSG00000117322	CR2	CD21
ENSG00000158473	CD1D	CD1d
ENSG00000070214	SLC44A1	CD92
ENSG00000096264	NCR2	CD336
ENSG00000186810	CXCR3	CD183
ENSG00000150337	FCGR1A	CD64a
ENSG00000027697	IFNGR1	CD119
ENSG00000102245	CD40LG	CD154
ENSG00000158481	CD1C	CD1c
ENSG00000158485	CD1B	CD1b
ENSG00000169442	CD52	CD52
ENSG00000203618	GP1BB	CD42c
ENSG00000117091	CD48	CD48
ENSG00000131724	IL13RA1	CD213a1
ENSG00000203747	FCGR3A	CD16a
ENSG00000107779	BMPR1A	CD292
ENSG00000203710	CR1	CD35
ENSG00000117400	MPL	CD110
ENSG00000116815	CD58	CD58
ENSG00000116824	CD2	CD2
ENSG00000178726	THBD	CD141
ENSG00000049249	TNFRSF9	CD137
ENSG00000002586	CD99	CD99
ENSG00000171867	PRNP	CD230
ENSG00000102524	TNFSF13B	CD257
ENSG00000174130	TLR6	CD286
ENSG00000120156	TEK	CD202b
ENSG00000120217	CD274	CD274
ENSG00000171094	ALK	CD246
ENSG00000112149	CD83	CD83
ENSG00000186827	TNFRSF4	CD134
ENSG00000205809	KLRC2	CD159c
ENSG00000028137	TNFRSF1B	CD120b
ENSG00000156886	ITGAD	CD11d
ENSG00000204936	CD177	CD177
ENSG00000134247	PTGFRN	CD315
ENSG00000197646	PDCD1LG2	CD273
ENSG00000178732	GP5	CD42d
ENSG00000149177	PTPRJ	CD148
ENSG00000115594	IL1R1	CD121a
ENSG00000151651	ADAM8	CD156a
ENSG00000108622	ICAM2	CD102
ENSG00000116031	CD207	CD207
ENSG00000250361	GYPB	CD235b
ENSG00000007062	PROM1	CD133
ENSG00000105501	SIGLEC5	CD170
ENSG00000174804	FZD4	CD344
ENSG00000261371	PECAM1	CD31
ENSG00000259207	ITGB3	CD61
ENSG00000260314	MRC1	CD206
ENSG00000272398	CD24	CD24
