ensg	name
ENSMUSG00000074368	
ENSMUSG00000079808	
ENSMUSG00000074829	
ENSMUSG00000070709	1700049G17Rik
ENSMUSG00000078894	2210418O10Rik
ENSMUSG00000002345	2310045N01Rik
ENSMUSG00000060301	2610008E11Rik
ENSMUSG00000066000	2610305D13Rik
ENSMUSG00000053080	2700081O15Rik
ENSMUSG00000020491	2810021J22Rik
ENSMUSG00000089922	3110039M20Rik
ENSMUSG00000035868	3110052M02Rik
ENSMUSG00000051278	4930422G04Rik
ENSMUSG00000072762	4930522L14Rik
ENSMUSG00000058670	4932411N23Rik
ENSMUSG00000072763	5430403G16Rik
ENSMUSG00000004071	5730403B10Rik
ENSMUSG00000073197	5730507C01Rik
ENSMUSG00000030823	9130019O22Rik
ENSMUSG00000062944	9130023H24Rik
ENSMUSG00000090982	9430076C15Rik
ENSMUSG00000074158	9830147E19Rik
ENSMUSG00000056014	A430033K04Rik
ENSMUSG00000021510	A530054K11Rik
ENSMUSG00000058093	AA987161
ENSMUSG00000053950	ADNP2
ENSMUSG00000056383	AI987944
ENSMUSG00000007880	ARID1A
ENSMUSG00000069729	ARID1B
ENSMUSG00000019564	ARID3A
ENSMUSG00000004661	ARID3B
ENSMUSG00000066224	ARID3C
ENSMUSG00000048118	ARID4A
ENSMUSG00000039219	ARID4B
ENSMUSG00000037447	ARID5A
ENSMUSG00000019947	ARID5B
ENSMUSG00000085111	ASCL4
ENSMUSG00000099083	ATF7
ENSMUSG00000031229	ATRX
ENSMUSG00000078435	AU041133
ENSMUSG00000074166	AW146154
ENSMUSG00000005580	Adcy9
ENSMUSG00000051149	Adnp
ENSMUSG00000030232	Aebp2
ENSMUSG00000029313	Aff1
ENSMUSG00000031189	Aff2
ENSMUSG00000037138	Aff3
ENSMUSG00000049470	Aff4
ENSMUSG00000019256	Ahr
ENSMUSG00000021575	Ahrr
ENSMUSG00000000731	Aire
ENSMUSG00000036602	Alx1
ENSMUSG00000014603	Alx3
ENSMUSG00000040310	Alx4
ENSMUSG00000025269	Apex2
ENSMUSG00000046532	Ar
ENSMUSG00000033237	Arid2
ENSMUSG00000015522	Arnt
ENSMUSG00000015709	Arnt2
ENSMUSG00000055116	Arntl
ENSMUSG00000040187	Arntl2
ENSMUSG00000035277	Arx
ENSMUSG00000020052	Ascl1
ENSMUSG00000009248	Ascl2
ENSMUSG00000035951	Ascl3
ENSMUSG00000023027	Atf1
ENSMUSG00000027104	Atf2
ENSMUSG00000026628	Atf3
ENSMUSG00000042406	Atf4
ENSMUSG00000038539	Atf5
ENSMUSG00000026663	Atf6
ENSMUSG00000015461	Atf6b
ENSMUSG00000052414	Atf7
ENSMUSG00000073043	Atoh1
ENSMUSG00000036816	Atoh7
ENSMUSG00000037621	Atoh8
ENSMUSG00000022641	BBX
ENSMUSG00000074862	BC025920
ENSMUSG00000053175	BCL3
ENSMUSG00000025612	Bach1
ENSMUSG00000040270	Bach2
ENSMUSG00000026805	Barhl1
ENSMUSG00000034384	Barhl2
ENSMUSG00000021381	Barx1
ENSMUSG00000032033	Barx2
ENSMUSG00000034266	Batf
ENSMUSG00000039699	Batf2
ENSMUSG00000026630	Batf3
ENSMUSG00000035021	Baz1a
ENSMUSG00000040054	Baz2a
ENSMUSG00000026987	Baz2b
ENSMUSG00000000861	Bcl11a
ENSMUSG00000048251	Bcl11b
ENSMUSG00000022508	Bcl6
ENSMUSG00000000317	Bcl6b
ENSMUSG00000052271	Bhlha15
ENSMUSG00000044243	Bhlha9
ENSMUSG00000025128	Bhlhe22
ENSMUSG00000045493	Bhlhe23
ENSMUSG00000030103	Bhlhe40
ENSMUSG00000030256	Bhlhe41
ENSMUSG00000090247	Bloc1s1
ENSMUSG00000049086	Bmyc
ENSMUSG00000025105	Bnc1
ENSMUSG00000028487	Bnc2
ENSMUSG00000040481	Bptf
ENSMUSG00000054360	Bsx
ENSMUSG00000057093	C030039L03Rik
ENSMUSG00000042507	C130039O16Rik
ENSMUSG00000074529	C330013J21Rik
ENSMUSG00000028977	CASZ1
ENSMUSG00000005442	CIC
ENSMUSG00000038784	CNOT4
ENSMUSG00000038002	CRAMP1L
ENSMUSG00000035041	CREB3L3
ENSMUSG00000032515	CSRNP1
ENSMUSG00000044636	CSRNP2
ENSMUSG00000044647	CSRNP3
ENSMUSG00000024560	CXXC1
ENSMUSG00000014592	Camta1
ENSMUSG00000040712	Camta2
ENSMUSG00000008393	Carhsp1
ENSMUSG00000031885	Cbfb
ENSMUSG00000034035	Ccdc17
ENSMUSG00000052616	Ccdc79
ENSMUSG00000023932	Cdc5l
ENSMUSG00000024619	Cdx1
ENSMUSG00000029646	Cdx2
ENSMUSG00000031326	Cdx4
ENSMUSG00000034957	Cebpa
ENSMUSG00000056501	Cebpb
ENSMUSG00000052435	Cebpe
ENSMUSG00000056216	Cebpg
ENSMUSG00000090258	Churc1
ENSMUSG00000029238	Clock
ENSMUSG00000036550	Cnot1
ENSMUSG00000072678	Cphx
ENSMUSG00000025958	Creb1
ENSMUSG00000028466	Creb3
ENSMUSG00000027230	Creb3l1
ENSMUSG00000038648	Creb3l2
ENSMUSG00000027938	Creb3l4
ENSMUSG00000053007	Creb5
ENSMUSG00000022521	Crebbp
ENSMUSG00000032652	Crebl2
ENSMUSG00000051451	Crebzf
ENSMUSG00000063889	Crem
ENSMUSG00000041578	Crx
ENSMUSG00000074365	Crxos1
ENSMUSG00000030189	Csda
ENSMUSG00000042109	Csdc2
ENSMUSG00000068823	Csde1
ENSMUSG00000005698	Ctcf
ENSMUSG00000070495	Ctcfl
ENSMUSG00000029705	Cux1
ENSMUSG00000042589	Cux2
ENSMUSG00000079038	D130040H23Rik
ENSMUSG00000009640	DMAP1
ENSMUSG00000031323	DMRTC1B
ENSMUSG00000073027	DMRTC1B
ENSMUSG00000026740	DNAJC1
ENSMUSG00000004099	DNMT1
ENSMUSG00000020661	DNMT3A
ENSMUSG00000027478	DNMT3B
ENSMUSG00000000730	DNMT3L
ENSMUSG00000058537	DUX4L7
ENSMUSG00000059824	Dbp
ENSMUSG00000030507	Dbx1
ENSMUSG00000045608	Dbx2
ENSMUSG00000025408	Ddit3
ENSMUSG00000058886	Deaf1
ENSMUSG00000041911	Dlx1
ENSMUSG00000023391	Dlx2
ENSMUSG00000001510	Dlx3
ENSMUSG00000020871	Dlx4
ENSMUSG00000029755	Dlx5
ENSMUSG00000029754	Dlx6
ENSMUSG00000028707	Dmbx1
ENSMUSG00000024837	Dmrt1
ENSMUSG00000048138	Dmrt2
ENSMUSG00000042372	Dmrt3
ENSMUSG00000043753	Dmrta1
ENSMUSG00000047143	Dmrta2
ENSMUSG00000028610	Dmrtb1
ENSMUSG00000011349	Dmrtc2
ENSMUSG00000042508	Dmtf1
ENSMUSG00000029014	Dnajc2
ENSMUSG00000030584	Dpf1
ENSMUSG00000024826	Dpf2
ENSMUSG00000048502	Duxbl
ENSMUSG00000042156	Dzip1
ENSMUSG00000037784	Dzip1l
ENSMUSG00000027490	E2f1
ENSMUSG00000018983	E2f2
ENSMUSG00000016477	E2f3
ENSMUSG00000014859	E2f4
ENSMUSG00000027552	E2f5
ENSMUSG00000057469	E2f6
ENSMUSG00000020185	E2f7
ENSMUSG00000046179	E2f8
ENSMUSG00000078580	E430018J23Rik
ENSMUSG00000024137	E4f1
ENSMUSG00000057098	EBF1
ENSMUSG00000022053	EBF2
ENSMUSG00000010476	EBF3
ENSMUSG00000053552	EBF4
ENSMUSG00000022838	Eaf2
ENSMUSG00000021810	Ecd
ENSMUSG00000015092	Edf1
ENSMUSG00000038418	Egr1
ENSMUSG00000037868	Egr2
ENSMUSG00000033730	Egr3
ENSMUSG00000071341	Egr4
ENSMUSG00000012350	Ehf
ENSMUSG00000036461	Elf1
ENSMUSG00000037174	Elf2
ENSMUSG00000003051	Elf3
ENSMUSG00000031103	Elf4
ENSMUSG00000027186	Elf5
ENSMUSG00000009406	Elk1
ENSMUSG00000008398	Elk3
ENSMUSG00000026436	Elk4
ENSMUSG00000033726	Emx1
ENSMUSG00000043969	Emx2
ENSMUSG00000058665	En1
ENSMUSG00000039095	En2
ENSMUSG00000032446	Eomes
ENSMUSG00000055024	Ep300
ENSMUSG00000024140	Epas1
ENSMUSG00000040857	Erf
ENSMUSG00000040732	Erg
ENSMUSG00000030929	Eri2
ENSMUSG00000019768	Esr1
ENSMUSG00000021055	Esr2
ENSMUSG00000024955	Esrra
ENSMUSG00000021255	Esrrb
ENSMUSG00000026610	Esrrg
ENSMUSG00000023443	Esx1
ENSMUSG00000074519	Etohi1
ENSMUSG00000032035	Ets1
ENSMUSG00000022895	Ets2
ENSMUSG00000004151	Etv1
ENSMUSG00000006311	Etv2
ENSMUSG00000003382	Etv3
ENSMUSG00000017724	Etv4
ENSMUSG00000013089	Etv5
ENSMUSG00000030199	Etv6
ENSMUSG00000005503	Evx1
ENSMUSG00000001815	Evx2
	FOXD4
ENSMUSG00000097084	FOXL1
ENSMUSG00000003808	Farsa
ENSMUSG00000046518	Ferd3l
ENSMUSG00000055197	Fev
ENSMUSG00000029697	Fezf1
ENSMUSG00000021743	Fezf2
ENSMUSG00000030001	Figla
ENSMUSG00000061374	Fiz1
ENSMUSG00000016087	Fli1
ENSMUSG00000021250	Fos
ENSMUSG00000003545	Fosb
ENSMUSG00000024912	Fosl1
ENSMUSG00000029135	Fosl2
ENSMUSG00000035451	Foxa1
ENSMUSG00000037025	Foxa2
ENSMUSG00000040891	Foxa3
ENSMUSG00000059246	Foxb1
ENSMUSG00000056829	Foxb2
ENSMUSG00000050295	Foxc1
ENSMUSG00000046714	Foxc2
ENSMUSG00000078302	Foxd1
ENSMUSG00000055210	Foxd2
ENSMUSG00000067261	Foxd3
ENSMUSG00000051490	Foxd4
ENSMUSG00000070990	Foxe1
ENSMUSG00000044518	Foxe3
ENSMUSG00000042812	Foxf1a
ENSMUSG00000038402	Foxf2
ENSMUSG00000020950	Foxg1
ENSMUSG00000033837	Foxh1
ENSMUSG00000047861	Foxi1
ENSMUSG00000048377	Foxi2
ENSMUSG00000055874	Foxi3
ENSMUSG00000034227	Foxj1
ENSMUSG00000003154	Foxj2
ENSMUSG00000032998	Foxj3
ENSMUSG00000056493	Foxk1
ENSMUSG00000039275	Foxk2
ENSMUSG00000050397	Foxl2
ENSMUSG00000001517	Foxm1
ENSMUSG00000002057	Foxn1
ENSMUSG00000034998	Foxn2
ENSMUSG00000033713	Foxn3
ENSMUSG00000042002	Foxn4
ENSMUSG00000044167	Foxo1
ENSMUSG00000048756	Foxo3
ENSMUSG00000042903	Foxo4
ENSMUSG00000052135	Foxo6
ENSMUSG00000030067	Foxp1
ENSMUSG00000029563	Foxp2
ENSMUSG00000039521	Foxp3
ENSMUSG00000023991	Foxp4
ENSMUSG00000038415	Foxq1
ENSMUSG00000074397	Foxr1
ENSMUSG00000071665	Foxr2
ENSMUSG00000074676	Foxs1
ENSMUSG00000036180	GATAD2A
ENSMUSG00000029275	GFI1
ENSMUSG00000008976	Gabpa
ENSMUSG00000031162	Gata1
ENSMUSG00000015053	Gata2
ENSMUSG00000015619	Gata3
ENSMUSG00000021944	Gata4
ENSMUSG00000015627	Gata5
ENSMUSG00000005836	Gata6
ENSMUSG00000007415	Gatad1
ENSMUSG00000042390	Gatad2b
ENSMUSG00000067724	Gbx1
ENSMUSG00000034486	Gbx2
ENSMUSG00000023333	Gcm1
ENSMUSG00000021362	Gcm2
ENSMUSG00000026815	Gfi1b
ENSMUSG00000025407	Gli1
ENSMUSG00000048402	Gli2
ENSMUSG00000021318	Gli3
ENSMUSG00000034762	Glis1
ENSMUSG00000014303	Glis2
ENSMUSG00000052942	Glis3
ENSMUSG00000063905	Gm10139
ENSMUSG00000067929	Gm10226
ENSMUSG00000071295	Gm10323
ENSMUSG00000071302	Gm10324
ENSMUSG00000072672	Gm10391
ENSMUSG00000072675	Gm10394
ENSMUSG00000073448	Gm10509
ENSMUSG00000074735	Gm10749
ENSMUSG00000074837	Gm10770
ENSMUSG00000074860	Gm10778
ENSMUSG00000078767	Gm10988
ENSMUSG00000078801	Gm10991
ENSMUSG00000078890	Gm11007
ENSMUSG00000078895	Gm11009
ENSMUSG00000079390	Gm11105
ENSMUSG00000072915	Gm12258
ENSMUSG00000062632	Gm12588
ENSMUSG00000066009	Gm13051
ENSMUSG00000049410	Gm13060
ENSMUSG00000067916	Gm13139
ENSMUSG00000078497	Gm13145
ENSMUSG00000078496	Gm13152
ENSMUSG00000065999	Gm13154
ENSMUSG00000078495	Gm13157
ENSMUSG00000078502	Gm13212
ENSMUSG00000078503	Gm13225
ENSMUSG00000078500	Gm13235
ENSMUSG00000058186	Gm13242
ENSMUSG00000056300	Gm13247
ENSMUSG00000063245	Gm13248
ENSMUSG00000070605	Gm13251
ENSMUSG00000079008	Gm14124
ENSMUSG00000079009	Gm14139
ENSMUSG00000074527	Gm14296
ENSMUSG00000078878	Gm14305
ENSMUSG00000078879	Gm14306
ENSMUSG00000078880	Gm14308
ENSMUSG00000078864	Gm14322
ENSMUSG00000078863	Gm14325
ENSMUSG00000078862	Gm14326
ENSMUSG00000078903	Gm14391
ENSMUSG00000078905	Gm14393
ENSMUSG00000090093	Gm14399
ENSMUSG00000078872	Gm14401
ENSMUSG00000067480	Gm14403
ENSMUSG00000078865	Gm14406
ENSMUSG00000078876	Gm14408
ENSMUSG00000078869	Gm14409
ENSMUSG00000078868	Gm14412
ENSMUSG00000078875	Gm14419
ENSMUSG00000078866	Gm14420
ENSMUSG00000078883	Gm14430
ENSMUSG00000078882	Gm14431
ENSMUSG00000078885	Gm14432
ENSMUSG00000078884	Gm14436
ENSMUSG00000078902	Gm14443
ENSMUSG00000078906	Gm14444
ENSMUSG00000079626	Gm14543
ENSMUSG00000090015	Gm15446
ENSMUSG00000074838	Gm16512
ENSMUSG00000079392	Gm17170
ENSMUSG00000074840	Gm17449
ENSMUSG00000090756	Gm17635
ENSMUSG00000078893	Gm2004
ENSMUSG00000078888	Gm2007
ENSMUSG00000078886	Gm2026
ENSMUSG00000092544	Gm20422
ENSMUSG00000043903	Gm22
ENSMUSG00000034057	Gm239
ENSMUSG00000090221	Gm4245
ENSMUSG00000078899	Gm4631
ENSMUSG00000078898	Gm4723
ENSMUSG00000078897	Gm4724
ENSMUSG00000055942	Gm4745
ENSMUSG00000078436	Gm4767
ENSMUSG00000044690	Gm4798
ENSMUSG00000044538	Gm4830
ENSMUSG00000075045	Gm4981
ENSMUSG00000047643	Gm5454
ENSMUSG00000061969	Gm5581
ENSMUSG00000069727	Gm5595
ENSMUSG00000069475	Gm6020
ENSMUSG00000068284	Gm608
ENSMUSG00000078887	Gm6710
ENSMUSG00000067156	Gm7337
ENSMUSG00000091482	Gm8223
ENSMUSG00000089756	Gm8898
ENSMUSG00000078896	Gm8923
ENSMUSG00000078564	Gm9631
ENSMUSG00000040775	Gm9772
ENSMUSG00000036098	Gm98
ENSMUSG00000046088	Gm9805
ENSMUSG00000052909	Gm9894
ENSMUSG00000028901	Gmeb1
ENSMUSG00000038705	Gmeb2
ENSMUSG00000020656	Grhl1
ENSMUSG00000022286	Grhl2
ENSMUSG00000037188	Grhl3
ENSMUSG00000021095	Gsc
ENSMUSG00000022738	Gsc2
ENSMUSG00000053129	Gsx1
ENSMUSG00000035946	Gsx2
ENSMUSG00000060261	Gtf2i
ENSMUSG00000023079	Gtf2ird1
ENSMUSG00000015942	Gtf2ird2
ENSMUSG00000016503	Gtf3a
ENSMUSG00000027439	Gzf1
ENSMUSG00000002996	HBP1
ENSMUSG00000032329	HMG20A
ENSMUSG00000020232	HMG20B
ENSMUSG00000078249	HMGA1
ENSMUSG00000046711	HMGA1
ENSMUSG00000056758	HMGA2
ENSMUSG00000024622	HMGXB3
ENSMUSG00000034518	HMGXB4
ENSMUSG00000042499	HOXD11
ENSMUSG00000037335	Hand1
ENSMUSG00000038193	Hand2
ENSMUSG00000034551	Hdx
ENSMUSG00000047171	Helt
ENSMUSG00000022528	Hes1
ENSMUSG00000028940	Hes2
ENSMUSG00000028946	Hes3
ENSMUSG00000048001	Hes5
ENSMUSG00000067071	Hes6
ENSMUSG00000023781	Hes7
ENSMUSG00000040726	Hesx1
ENSMUSG00000040289	Hey1
ENSMUSG00000019789	Hey2
ENSMUSG00000032744	Heyl
ENSMUSG00000024986	Hhex
ENSMUSG00000043099	Hic1
ENSMUSG00000050240	Hic2
ENSMUSG00000021109	Hif1a
ENSMUSG00000004328	Hif3a
ENSMUSG00000032119	Hinfp
ENSMUSG00000021366	Hivep1
ENSMUSG00000015501	Hivep2
ENSMUSG00000028634	Hivep3
ENSMUSG00000003949	Hlf
ENSMUSG00000039377	Hlx
ENSMUSG00000021972	Hmbox1
ENSMUSG00000066530	Hmg1l1
ENSMUSG00000066551	Hmgb1
ENSMUSG00000062477	Hmgb1l
ENSMUSG00000054717	Hmgb2
ENSMUSG00000015217	Hmgb3
ENSMUSG00000048686	Hmgb4
ENSMUSG00000067438	Hmx1
ENSMUSG00000050100	Hmx2
ENSMUSG00000040148	Hmx3
ENSMUSG00000029556	Hnf1a
ENSMUSG00000020679	Hnf1b
ENSMUSG00000017950	Hnf4a
ENSMUSG00000017688	Hnf4g
ENSMUSG00000057156	Homez
ENSMUSG00000059325	Hopx
ENSMUSG00000029844	Hoxa1
ENSMUSG00000000938	Hoxa10
ENSMUSG00000038210	Hoxa11
ENSMUSG00000038203	Hoxa13
ENSMUSG00000014704	Hoxa2
ENSMUSG00000079560	Hoxa3
ENSMUSG00000000942	Hoxa4
ENSMUSG00000038253	Hoxa5
ENSMUSG00000043219	Hoxa6
ENSMUSG00000038236	Hoxa7
ENSMUSG00000038227	Hoxa9
ENSMUSG00000018973	Hoxb1
ENSMUSG00000049604	Hoxb13
ENSMUSG00000075588	Hoxb2
ENSMUSG00000048763	Hoxb3
ENSMUSG00000038692	Hoxb4
ENSMUSG00000038700	Hoxb5
ENSMUSG00000000690	Hoxb6
ENSMUSG00000038721	Hoxb7
ENSMUSG00000056648	Hoxb8
ENSMUSG00000020875	Hoxb9
ENSMUSG00000022484	Hoxc10
ENSMUSG00000001656	Hoxc11
ENSMUSG00000050328	Hoxc12
ENSMUSG00000001655	Hoxc13
ENSMUSG00000075394	Hoxc4
ENSMUSG00000022485	Hoxc5
ENSMUSG00000001661	Hoxc6
ENSMUSG00000001657	Hoxc8
ENSMUSG00000036139	Hoxc9
ENSMUSG00000042448	Hoxd1
ENSMUSG00000050368	Hoxd10
ENSMUSG00000001823	Hoxd12
ENSMUSG00000001819	Hoxd13
ENSMUSG00000079277	Hoxd3
ENSMUSG00000042464	Hoxd4
ENSMUSG00000027102	Hoxd8
ENSMUSG00000043342	Hoxd9
ENSMUSG00000022556	Hsf1
ENSMUSG00000019878	Hsf2
ENSMUSG00000045802	Hsf3
ENSMUSG00000033249	Hsf4
ENSMUSG00000070345	Hsf5
ENSMUSG00000045336	Hsfy2
ENSMUSG00000002325	IRF9
ENSMUSG00000042745	Id1
ENSMUSG00000020644	Id2
ENSMUSG00000007872	Id3
ENSMUSG00000021379	Id4
ENSMUSG00000018654	Ikzf1
ENSMUSG00000025997	Ikzf2
ENSMUSG00000018168	Ikzf3
ENSMUSG00000002578	Ikzf4
ENSMUSG00000040167	Ikzf5
ENSMUSG00000068154	Insm1
ENSMUSG00000045440	Insm2
ENSMUSG00000018899	Irf1
ENSMUSG00000031627	Irf2
ENSMUSG00000003184	Irf3
ENSMUSG00000021356	Irf4
ENSMUSG00000029771	Irf5
ENSMUSG00000026638	Irf6
ENSMUSG00000025498	Irf7
ENSMUSG00000041515	Irf8
ENSMUSG00000060969	Irx1
ENSMUSG00000001504	Irx2
ENSMUSG00000031734	Irx3
ENSMUSG00000021604	Irx4
ENSMUSG00000031737	Irx5
ENSMUSG00000031738	Irx6
ENSMUSG00000042258	Isl1
ENSMUSG00000032318	Isl2
ENSMUSG00000031621	Isx
ENSMUSG00000038518	Jarid2
ENSMUSG00000034271	Jdp2
